model,precision,environment,task_id,outcome,turns,self_corrections,archetypes,reasoning_leakage,stagnation,truncation,verification_omission
Gemma-3,8-bit,Python,py_1,judge_rejected,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_2,judge_rejected,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_3,success,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_4,success,3,1,truncation(4),0,0,1,0
Gemma-3,8-bit,Python,py_5,success,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_6,success,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_7,judge_rejected,2,0,truncation(3),0,0,1,0
Gemma-3,8-bit,Python,py_8,max_turns,5,0,stagnation(1); truncation(4),0,1,1,0
Gemma-3,8-bit,Python,py_9,success,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_10,judge_rejected,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_11,success,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_12,success,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_13,success,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_14,success,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_15,judge_rejected,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_16,success,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_17,success,2,0,truncation(2),0,0,1,0
Gemma-3,8-bit,Python,py_18,success,1,1,none,0,0,0,0
Gemma-3,8-bit,Python,py_19,success,1,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Python,py_20,success,2,0,truncation(2),0,0,1,0
Gemma-3,8-bit,Bash,bash_1,max_turns,5,2,none,0,0,0,0
Gemma-3,8-bit,Bash,bash_2,success,5,0,none,0,0,0,0
Gemma-3,8-bit,Bash,bash_3,max_turns,5,0,none,0,0,0,0
Gemma-3,8-bit,Bash,bash_4,max_turns,5,1,none,0,0,0,0
Gemma-3,8-bit,Bash,bash_5,success,3,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Bash,bash_6,max_turns,5,0,stagnation(1),0,1,0,0
Gemma-3,8-bit,Bash,bash_7,max_turns,5,1,none,0,0,0,0
Gemma-3,8-bit,Bash,bash_8,max_turns,5,0,none,0,0,0,0
Gemma-3,8-bit,Bash,bash_9,judge_rejected,4,0,stagnation(1); truncation(1),0,1,1,0
Gemma-3,8-bit,Bash,bash_10,max_turns,5,3,none,0,0,0,0
Gemma-3,8-bit,Bash,bash_11,judge_rejected,3,0,truncation(1),0,0,1,0
Gemma-3,8-bit,Bash,bash_12,max_turns,5,0,none,0,0,0,0
Gemma-3,8-bit,Bash,bash_13,max_turns,5,1,stagnation(1),0,1,0,0
Gemma-3,8-bit,Bash,bash_14,max_turns,5,0,none,0,0,0,0
